Borough,Name,Address,Phone,Email,Hours,Type
Bronx,Bronx CC College,,,,,Housing
Bronx,HOSTOS CC COllege,,,,,Housing
Bronx,LEHMAN COLLEGE,,,,,Housing
Brooklyn,BROOKLYN COLLEGE,,,,,Housing
Brooklyn,Kings Borough Comunity College,,,,,Housing
Brooklyn,Medgar Evers College,,,,,Housing
Brooklyn,NYC College Of TechnologyCITY TECH,,,,,Housing
Manhattan,Baruch College,,212-600-5003,housing@baruch.cuny.edu,,Housing
Manhattan,BMCC,,,,,Housing
Manhattan,City College Of New York,,917-507-0070,towers@ccny.cuny.edu,,Housing
Manhattan,Guttman Community College,,,,,Housing
Manhattan,HUNTER COLLEGE,,212-396-7136,living@hunter.cuny.edu,,Housing
Manhattan,John Jay College,L.68.00 New Building,212-237-8052,healthoffice@jjay.cuny.edu,,Housing
Queens,La Guardia Community College,,"(718) 482-5471
(718) 482-5280","Health-Center@lagcc.cuny.edu. 
wellnesscenter@lagcc.cuny.edu ",,Housing
Queens,Queens College,,718-997-4881,housing@qc.cuny.edu,,Housing
Queens,QUEENSBOROUGH COMMUNITY COLLEGE,,,,,Housing
Queens,SCHOOL OF JOURNALISM,,,,,Housing
Queens,SCHOOL OF LAW,,,,,Housing
Queens,YORK COLLEGE,,,,,Housing
StatenIsland,College Of Staten Island,,718-982-3019,DolphinCove@americancampus.com,,Housing
