Borough,Name,Address,Phone,Email,Hours,Type
Bronx,Bronx CC College,,718-289-5911,,,Security
Bronx,HOSTOS CC COllege,"450 Grand Concourse, Room C-030
Bronx, NY 10451",(718) 518-6888,,,Security
Bronx,LEHMAN COLLEGE,"Apex, Room 109",718-960-8593,public.safety@lehman.cuny.edu,,Security
Brooklyn,BROOKLYN COLLEGE,0202 Ingersoll Hall,718-951-5511,security@brooklyn.cuny.edu,,Security
Brooklyn,Kings Borough Comunity College,,718-368-5069,,,Security
Brooklyn,Medgar Evers College,"1638 Bedford Ave., Room C17
Brooklyn, NY 11225",(718) 270-6069,,,Security
Brooklyn,NYC College Of TechnologyCITY TECH,"300 Jay Street
Namm Hall 109 (N-109)
Brooklyn, NY 11201",718-260-5550,publicsafety@citytech.cuny.edu,,Security
Manhattan,Baruch College,"152 E. 26th Street, H-160, New York, NY 10010",646-660-6000,Public.Safety@baruch.cuny.edu,,Security
Manhattan,BMCC,"199 Chambers St, Room S-211
New York, NY 10007",(212) 220-8075,,,Security
Manhattan,City College Of New York,"NORTH ACADEMIC CENTER
ROOM 4/201
160 Convent Avenue,
New York, NY 10031",(212) 650-6911,publicsafety@ccny.cuny.edu,,Security
Manhattan,Guttman Community College,,646-313-8101,PublicSafety@guttman.cuny.edu,,Security
Manhattan,HUNTER COLLEGE,68th Street Campus-West B122,212-772-4444,publicsafety@hunter.cuny.edu,,Security
Manhattan,John Jay College,"524 West 59th Street
Room L2.61 NB
New York, NY 10019",212-237-8524,publicsafety@jjay.cuny.edu,,Security
Queens,La Guardia Community College,"Public Safety Department
31-10 Thomson Ave.
Room-M145
LIC, NY 11101",(718) 482-5558,ygaul@lagcc.cuny.edu,,Security
Queens,Queens College,,718-997-5912,,,Security
Queens,QUEENSBOROUGH COMMUNITY COLLEGE,"Library, 3rd Floor
222-05, 56th Avenue Bayside, NY 11364",718-631-6320,publicsafety@qcc.cuny.edu,,Security
Queens,SCHOOL OF JOURNALISM,,646-758-7777,francis.vargas@journalism.cuny.edu,,Security
Queens,SCHOOL OF LAW,,,,,Security
Queens,YORK COLLEGE,AC-1M02,(718) 262-2222,,,Security
StatenIsland,College Of Staten Island,"Building 2A, Room 108",718 - 982-2113,Michael.Lederhandler@csi.cuny.edu,,Security
