Borough,Name,Address,ZipCode,Phone,Fax,Hours,Type
Bronx,Food Bank For New York City,"252 W 116th Street
",10474,(212) 894-8060,,,FoodResource
Bronx,Caldwell Temple AME Zion Church Soup Kitchen,"1288 Reverend James A. Polite Avenue
",10459,(718) 542-2933,,"""saturday"" : ""11:00am - 2:00pm""",FoodResource
Bronx,Missionary Church Of Christ,937 Teller Avenue,10451,(718) 588-4545,,"""wednesday"" :""9:00am - 11:00am""",FoodResource
Bronx,Calvary Delivery Christian Assembly,737-739 Concourse Village West,10451,(347) 658-4459,,,FoodResource
Bronx,"Food Stamp Office- Melrose Center
",260 E. 161st Street,10451,(718) 664-1010,(718) 664-1017,"""monday"" : ""8:30 am - 5:00pm"",
""tuesday"" : ""8:30 am - 5:00pm"",
""wednesday"" : ""8:30 am - 5:00pm"",
""thursday"" : ""8:30 am - 5:00pm"",
""friday"" :  ""8:30 am - 5:00pm""",FoodResource
Bronx,Greater Universal Baptist Church,253 E. 153rd Street,10451,(718) 292-8640,,"""wednesday"" : ""12:00pm - 1:30pm"",
""friday"" : ""12:00pm - 1:30pm""",FoodResource
Bronx,Resurrection And Life Church,870 E. 163rd Street,10459,(718) 617-2399,,"""tuesday"" : ""6:30pm - 8:00pm"",
""saturday"" : ""10:00am - 2:00pm"",
""sunday"" : ""12:00pm - 1:30pm""",FoodResource
Bronx,WHEDCO - Women's Housing And Economico Development Corp,50 East 168th Street,10452,(718) 839-1100,,"""monday"" : ""2:30pm - 4:00pm"",
""wednesday"" : ""2:30pm - 4:00pm""",FoodResource
Bronx,City Light Church,"
121 East 7th Street",10009,(718) 583-5894,,"""monday"" : ""2:00pm - 5:00pm""",FoodResource
Bronx,True Gospel Tabernacle Church,1 West Tremont Ave,10453,(718) 901-2786,,"""thursday"" : ""10:30am - 12:30pm""",FoodResource
Bronx,St. Peter's Church In The Bronx,2500 Westchester Ave,10461,(718) 931-9270,(718) 931-6673,"""thursday"" :  ""9:00am - 12:00pm"",
""thursday"" : ""12:00pm - 1:30pm""",FoodResource
Bronx,Abundant Life Tabernacle,2692 3rd Ave,10454,(718) 292-8734,,"""tuesday"" : ""10:30am - 2:30pm"", 
""wednesday"" : ""10:30am - 2:30pm"",
""thursday"" : ""10:30am - 2:30pm""",FoodResource
Brooklyn,St. Paul Pentecostal Kingdom Builders Food Pantry,133 Thomas S. Boyland Street,11233,(718) 453-6393,,"""saturday"" : ""11:00am - 1:00pm""",FoodResource
